A,X,H,T,F,accession,domain_id,ec,organism_name,protein_name,gene_names,length,source_id,d_type,t_id,f_id,ecod_uid,range
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Rhodanese/Cell cycle control phosphatase,Rhodanese,Q05923,nD1,4.3.1.27,Homo sapiens (Human),Dual specificity protein phosphatase 2 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PAC-1),DUSP2 PAC1,314,Q05923_F1,AFDB,2007.2.5,2007.2.5.1,3558175,6-145
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydrolase_1,Q05AK6,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2-B) (Acetylesterase) (EC 3.1.1.6) (Triacylglycerol lipase) (EC 3.1.1.79),abhd2b zgc:153750,422,Q05AK6_F1,AFDB,7579.1.1,7579.1.1.6,3911440,41-420
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydrolase_1,Q05AK6,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2-B) (Acetylesterase) (EC 3.1.1.6) (Triacylglycerol lipase) (EC 3.1.1.79),abhd2b zgc:153750,422,Q05AK6_F1,AFDB,7579.1.1,7579.1.1.6,3911440,41-420
a+b four layers,Ntn/PP2C,"Protein serine/threonine phosphatase 2C, catalytic domain","Protein serine/threonine phosphatase 2C, catalytic domain",PP2C,Q05AL2,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Protein phosphatase 1H (EC 3.1.3.16),ppm1h zgc:153678,516,Q05AL2_F1,AFDB,210.2.1,210.2.1.1,3917925,"31-95,132-180,233-330,371-515"
a/b three-layered sandwiches,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase,Q05AM4,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Fatty-acid amide hydrolase 2-B (EC 3.5.1.99),faah2b zgc:153568,526,Q05AM4_F1,AFDB,7552.1.1,7552.1.1.1,3900044,32-525
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,NIF,Q05D32,nD1,4.3.1.27,Homo sapiens (Human),CTD small phosphatase-like protein 2 (CTDSP-like 2) (EC 3.1.3.-),CTDSPL2 HSPC058 HSPC129,466,Q05D32_F1,AFDB,2006.1.1,2006.1.1.4,3563650,256-460
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Lipase,Q06000,nD1,4.3.1.27,Rattus norvegicus (Rat),Lipoprotein lipase (LPL) (EC 3.1.1.34) (Phospholipase A1) (EC 3.1.1.32),Lpl,474,Q06000_F1,AFDB,7579.1.1,7579.1.1.2,3758863,36-340
a+b two layers,SH2,SH2,SH2,SH2,Q06124,nD1,4.3.1.27,Homo sapiens (Human),Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3),PTPN11 PTP2C SHPTP2,593,Q06124_F1,AFDB,214.1.1,214.1.1.1,3557886,1-105
a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,6PF2K,Q06137,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",YLR345W,509,Q06137_F1,AFDB,2004.1.1,2004.1.1.65,3173499,71-285
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,(Phosphotyrosine protein) phosphatases II,Y_phosphatase,Q06180,nD1,4.3.1.27,Mus musculus (Mouse),Tyrosine-protein phosphatase non-receptor type 2 (Protein-tyrosine phosphatase PTP-2) (EC 3.1.3.48) (MPTP),Ptpn2 Ptpt,406,Q06180_F1,AFDB,2007.2.3,2007.2.3.1,3846592,1-295
a/b three-layered sandwiches,Isocitrate/Isopropylmalate dehydrogenase-like,Isocitrate/Isopropylmalate dehydrogenase-like,Isocitrate/Isopropylmalate dehydrogenase-like,Iso_dh,Q06197,nD1,4.3.1.27,Glycine max (Soybean) (Glycine hispida),Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),IDH1,413,Q06197_F1,AFDB,7510.1.1,7510.1.1.1,3357774,111-290
a+b four layers,Ntn/PP2C,Ntn,Class II glutamine amidotransferases,GATase_6,Q06210,nD1,4.3.1.27,Homo sapiens (Human),Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),GFPT1 GFAT GFPT,699,Q06210_F1,AFDB,210.1.3,210.1.3.4,3555331,"1-225,256-325"
a+b four layers,Ntn/PP2C,Ntn,Class II glutamine amidotransferases,GATase_6,Q06210,nD1,4.3.1.27,Homo sapiens (Human),Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),GFPT1 GFAT GFPT,699,Q06210_F1,AFDB,210.1.3,210.1.3.4,3555331,"1-225,256-325"
alpha superhelices,Repetitive alpha hairpins,Glutathione S-transferase (GST)-C,Glutathione S-transferase (GST)-C,,Q06398,nD1,4.3.1.27,Oryza sativa subsp. japonica (Rice),Probable glutathione S-transferase GSTU6 (EC 2.5.1.18) (28 kDa cold-induced protein),GSTU6 Os10g0530900 LOC_Os10g38740 OSJNBb0038A07.2,236,Q06398_F1,AFDB,109.1.1,NO_F_GROUP,3438594,6-235
a/b three-layered sandwiches,Thiamin diphosphate-binding fold (THDP-binding),Thiamin diphosphate-binding fold (THDP-binding),Thiamin diphosphate-binding fold (THDP-binding),TPP_enzyme_N,Q06408,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Transaminated amino acid decarboxylase (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (EC 4.1.1.80) (Thiamine diphosphate-dependent phenylpyruvate decarboxylase) (PPDC) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC) (Transaminated branched-chain amino acid decarboxylase),ARO10 YDR380W D9481.3,635,Q06408_F1,AFDB,7574.1.1,7574.1.1.7,3177870,21-240
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,LIDHydrolase,Q06522,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Lipid droplet-associated triacylglycerol lipase (TAG lipase) (EC 3.1.1.3),YPR147C,304,Q06522_F1,AFDB,7579.1.1,7579.1.1.59,3172469,1-304
a/b barrels,TIM beta/alpha-barrel,Glycoside hydrolase/deacetylase,Glycoside hydrolase/deacetylase,Polysacc_deac_1,Q06702,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Chitin deacetylase 1 (EC 3.5.1.41),CDA1 YLR307W L2142.2,301,Q06702_F1,AFDB,2002.3.1,2002.3.1.2,3170775,76-295
a/b barrels,TIM beta/alpha-barrel,Glycoside hydrolase/deacetylase,Glycoside hydrolase/deacetylase,Polysacc_deac_1,Q06703,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Chitin deacetylase 2 (EC 3.5.1.41),CDA2 YLR308W L2142.1,312,Q06703_F1,AFDB,2002.3.1,2002.3.1.2,3170938,101-310
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,COesterase,Q07085,nD1,4.3.1.27,Caenorhabditis elegans,Esterase CM06B1 (EC 3.1.1.1),F13H6.3,554,Q07085_F1,AFDB,7579.1.1,7579.1.1.1,3234672,1-540
a+b four layers,Carbon-nitrogen hydrolase-like,Metallo-dependent phosphatases,Metallo-dependent phosphatases,Metallophos,Q07098,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Serine/threonine-protein phosphatase PP2A-2 catalytic subunit (EC 3.1.3.16) (Protein phosphatase 2A isoform 2),PP2A2 PP2A1 At1g10430 T10O24.4,306,Q07098_F1,AFDB,246.2.1,246.2.1.1,3806408,6-300
a+b four layers,Carbon-nitrogen hydrolase-like,Metallo-dependent phosphatases,Metallo-dependent phosphatases,Metallophos,Q07100,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Serine/threonine-protein phosphatase PP2A-3 catalytic subunit (EC 3.1.3.16) (Protein phosphatase 2A isoform 3),PP2A3 PP2A4 At2g42500 MHK10.22,313,Q07100_F1,AFDB,246.2.1,246.2.1.1,3807457,11-310
a/b three-layered sandwiches,Thiamin diphosphate-binding fold (THDP-binding),Thiamin diphosphate-binding fold (THDP-binding),Thiamin diphosphate-binding fold (THDP-binding),TPP_enzyme_N,Q07471,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Thiamine metabolism regulatory protein THI3 (EC 4.1.1.72) (Keto isocaproate decarboxylase 1) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC),THI3 KID1 YDL080C,609,Q07471_F1,AFDB,7574.1.1,7574.1.1.7,3173206,1-200
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,DLH,Q07505,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Putative carboxymethylenebutenolidase (EC 3.1.1.45) (Dienelactone hydrolase) (DLH),YDL086W,273,Q07505_F1,AFDB,7579.1.1,7579.1.1.13,3171329,1-273
a/b three-layered sandwiches,DTD-like,DTD-like (Pfam 02580),DTD-like (Pfam 02580),Tyr_Deacylase,Q07648,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase),DTD1 YDL219W,150,Q07648_F1,AFDB,2494.1.1,2494.1.1.1,3170636,1-150
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,NIF,Q07800,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Phosphatase PSR1 (EC 3.1.3.-) (Plasma membrane sodium response protein 1),PSR1 YLL010C L1341,427,Q07800_F1,AFDB,2006.1.1,2006.1.1.4,3171403,232-425
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydro_lipase,Q07804,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Sterol esterase 1 (EC 3.1.1.13) (Steryl ester hydrolase 1),YEH1 YLL012W L1329,573,Q07804_F1,AFDB,7579.1.1,7579.1.1.75,3176446,"6-15,71-100,156-555"
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,NIF,Q07949,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Probable phosphatase PSR2 (EC 3.1.3.-) (Plasma membrane sodium response protein 2),PSR2 YLR019W,397,Q07949_F1,AFDB,2006.1.1,2006.1.1.4,3171977,201-395
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydro_lipase,Q07950,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Sterol esterase 2 (EC 3.1.1.13) (Steryl ester hydrolase 2),YEH2 YLR020C,538,Q07950_F1,AFDB,7579.1.1,7579.1.1.75,3174291,"6-15,136-535"
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,FabD/lysophospholipase-like,PLA2_B,Q08108,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Lysophospholipase 3 (EC 3.1.1.5) (Phospholipase B 3),PLB3 YOL011W,686,Q08108_F1,AFDB,2007.1.19,2007.1.19.3,3177011,31-595
a+b four layers,Carbon-nitrogen hydrolase-like,Metallo-dependent phosphatases,Metallo-dependent phosphatases,Metallophos,Q08209,nD1,4.3.1.27,Homo sapiens (Human),Protein phosphatase 3 catalytic subunit alpha (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calcineurin A alpha) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha) (Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform),PPP3CA CALNA CNA,521,Q08209_F1,AFDB,246.2.1,246.2.1.1,3557685,"11-425,471-485"
a/b three-layered sandwiches,Rossmann-like,Ribokinase-like,Ribokinase-like,Phos_pyr_kin,Q08224,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20 (EC 2.7.1.49) (EC 2.7.4.7) (EC 3.5.99.2) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase),THI20 YOL055C O1239,551,Q08224_F1,AFDB,2003.6.1,2003.6.1.5,3168073,11-295
a+b four layers,Carbon-nitrogen hydrolase-like,DNase I-like,DNase I-like,Exo_endo_phos,Q08227,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54 (EC 3.1.3.36)",INP54 YOL065C,384,Q08227_F1,AFDB,246.3.1,246.3.1.1,3171702,1-328
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Alpha-amylase,Q08295,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Oligo-1,6-glucosidase IMA2 (EC 3.2.1.10) (Alpha-glucosidase) (Isomaltase 2)",IMA2 YOL157C,589,Q08295_F1,AFDB,2002.1.1,2002.1.1.4,3174132,6-515
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_1_2,Q08415,nD1,4.3.1.27,Rattus norvegicus (Rat),Kynurenine--oxoglutarate transaminase 1 (Kynurenine--oxoglutarate transaminase I) (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase 1) (Kynurenine aminotransferase I) (KATI),Kyat1 Ccbl1 Kat,423,Q08415_F1,AFDB,7577.1.1,7577.1.1.1,3778098,6-320
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_1_2,Q08415,nD1,4.3.1.27,Rattus norvegicus (Rat),Kynurenine--oxoglutarate transaminase 1 (Kynurenine--oxoglutarate transaminase I) (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase) (EC 4.4.1.13) (Glutamine transaminase K) (GTK) (Glutamine--phenylpyruvate transaminase) (EC 2.6.1.64) (Kynurenine aminotransferase 1) (Kynurenine aminotransferase I) (KATI),Kyat1 Ccbl1 Kat,423,Q08415_F1,AFDB,7577.1.1,7577.1.1.1,3778098,6-320
a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,ECH_1,Q08426,nD1,4.3.1.27,Homo sapiens (Human),"Peroxisomal bifunctional enzyme (PBE) (PBFE) (L-bifunctional protein) (LBP) (Multifunctional enzyme 1) (MFE1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]",EHHADH ECHD,723,Q08426_F1,AFDB,2486.1.1,2486.1.1.1,3526646,1-275
a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,ECH_1,Q08426,nD1,4.3.1.27,Homo sapiens (Human),"Peroxisomal bifunctional enzyme (PBE) (PBFE) (L-bifunctional protein) (LBP) (Multifunctional enzyme 1) (MFE1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]",EHHADH ECHD,723,Q08426_F1,AFDB,2486.1.1,2486.1.1.1,3526646,1-275
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,DUF676,Q08448,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Lipid droplet phospholipase 1 (EC 3.1.-.-) (EC 3.1.1.4),LPL1 YOR059C YOR29-10,450,Q08448_F1,AFDB,7579.1.1,7579.1.1.51,3176931,"1-240,361-450"
a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,ECH_1,Q08558,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase (EC 5.3.3.21) (Peroxisomal di-isomerase DCI1)",DCI1 ECI2 EHD2 YOR180C,271,Q08558_F1,AFDB,2486.1.1,2486.1.1.1,3170036,1-270
alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,PPTA,Q08602,nD1,4.3.1.27,Rattus norvegicus (Rat),Geranylgeranyl transferase type-2 subunit alpha (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit alpha) (Rab geranyl-geranyltransferase subunit alpha) (Rab GG transferase alpha) (Rab GGTase alpha) (Rab geranylgeranyltransferase subunit alpha),Rabggta Ggta,567,Q08602_F1,AFDB,109.4.1,109.4.1.18,3745678,"6-240,351-400"
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,Prenyltrans,Q08603,nD1,4.3.1.27,Rattus norvegicus (Rat),Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta),Rabggtb Ggtb,331,Q08603_F1,AFDB,109.2.1,109.2.1.1,3745603,6-330
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,HAD_2,Q08623,nD1,4.3.1.27,Homo sapiens (Human),Pseudouridine-5'-phosphatase (EC 3.1.3.96) (Haloacid dehalogenase-like hydrolase domain-containing protein 1) (Haloacid dehalogenase-like hydrolase domain-containing protein 1A) (Protein GS1) (Pseudouridine-5'-monophosphatase) (5'-PsiMPase),PUDP DXF68S1E FAM16AX GS1 HDHD1 HDHD1A,228,Q08623_F1,AFDB,2006.1.1,2006.1.1.18,3554468,1-228
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Class I glutamine amidotransferase-like,,Q08914,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Probable glutathione-independent glyoxalase HSP33 (EC 4.2.1.130) (Glyoxalase 3 homolog 3) (Heat shock protein 33),HSP33 YOR391C,237,Q08914_F1,AFDB,2007.1.1,NO_F_GROUP,3166792,6-235
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Class I glutamine amidotransferase-like,,Q08992,nD1,4.3.1.27,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Probable glutathione-independent glyoxalase HSP32 (EC 4.2.1.130) (Glyoxalase 3 homolog 2) (Heat shock protein 32),HSP32 YPL280W,237,Q08992_F1,AFDB,2007.1.1,NO_F_GROUP,3174554,6-235
a/b three-layered sandwiches,Phosphorylase/hydrolase-like,Zn-dependent exopeptidases,Zn-dependent exopeptidases,Peptidase_M20,Q08BB2,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),N-fatty-acyl-amino acid synthase/hydrolase PM20D1.2 (EC 3.5.1.114) (EC 3.5.1.14) (Peptidase M20 domain-containing protein 1.2),pm20d1.2 zgc:154035,522,Q08BB2_F1,AFDB,2011.1.1,2011.1.1.6,3920017,"51-260,416-515"
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,NIF,Q08BB5,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),CTD small phosphatase-like protein 2-A (CTDSP-like 2-A) (EC 3.1.3.-),ctdspl2a zgc:154017,469,Q08BB5_F1,AFDB,2006.1.1,2006.1.1.4,3910627,"141-150,261-469"
a+b two layers,Enolase-N/ribosomal protein,Enolase N-terminal domain-like,Enolase N-terminal domain-like,Enolase_N,Q08BC6,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase),eno4 zgc:153973,576,Q08BC6_F1,AFDB,218.1.1,218.1.1.2,3880275,"56-110,131-190,236-280,481-545"
a+b two layers,Enolase-N/ribosomal protein,Enolase N-terminal domain-like,Enolase N-terminal domain-like,Enolase_N,Q08BC6,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase),eno4 zgc:153973,576,Q08BC6_F1,AFDB,218.1.1,218.1.1.2,3880275,"56-110,131-190,236-280,481-545"
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Abhydrolase_1,Q08C93,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-),abhd12 si:ch211-79l10.2 zgc:153367,382,Q08C93_F1,AFDB,7579.1.1,7579.1.1.6,3919638,61-375
beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Pur_ac_phosph_N,Q09131,nD1,4.3.1.27,Glycine max (Soybean) (Glycine hispida),Purple acid phosphatase (EC 3.1.3.2) (Zinc(II) purple acid phosphatase),PAP,464,Q09131_F1,AFDB,11.1.1,11.1.1.214,3304066,36-145
beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Pur_ac_phosph_N,Q09131,nD1,4.3.1.27,Glycine max (Soybean) (Glycine hispida),Purple acid phosphatase (EC 3.1.3.2) (Zinc(II) purple acid phosphatase),PAP,464,Q09131_F1,AFDB,11.1.1,11.1.1.214,3304066,36-145
alpha bundles,Terpenoid synthases,Terpenoid synthases,Terpenoid synthases,polyprenyl_synt,Q09152,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),"Farnesyl pyrophosphate synthase 1, mitochondrial (FPP synthase 1) (FPS 1) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase 1) (Dimethylallyltranstransferase 1) (EC 2.5.1.1) (Farnesyl diphosphate synthase 1) (Geranyltranstransferase 1)",FPS1 At5g47770 MCA23.9,384,Q09152_F1,AFDB,141.1.1,141.1.1.1,3823831,41-384
a+b four layers,Ntn/PP2C,"Protein serine/threonine phosphatase 2C, catalytic domain","Protein serine/threonine phosphatase 2C, catalytic domain",PP2C,Q09172,nD1,4.3.1.27,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),Protein phosphatase 2C homolog 2 (PP2C-2) (EC 3.1.3.16),ptc2 SPCC1223.11,370,Q09172_F1,AFDB,210.2.1,210.2.1.1,3742894,6-309
a+b four layers,Ntn/PP2C,"Protein serine/threonine phosphatase 2C, catalytic domain","Protein serine/threonine phosphatase 2C, catalytic domain",PP2C,Q09173,nD1,4.3.1.27,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16),ptc3 SPAC2G11.07c,414,Q09173_F1,AFDB,210.2.1,210.2.1.1,3743056,1-305
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,UMPH-1,Q09315,nD1,4.3.1.27,Caenorhabditis elegans,Putative cytosolic 5'-nucleotidase 3 (EC 3.1.3.5) (Putative pyrimidine 5'-nucleotidase),F25B5.3,376,Q09315_F1,AFDB,2006.1.1,2006.1.1.9,3224633,81-375
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_1,Q09422,nD1,4.3.1.27,Caenorhabditis elegans,"Serine/threonine-protein phosphatase Pgam5, mitochondrial (EC 3.1.3.16) (Phosphoglycerate mutase family member 5 homolog)",pgam-5 R07G3.5,284,Q09422_F1,AFDB,7525.1.1,7525.1.1.1,3247305,86-284
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,Arginase/deacetylase,Hist_deacetyl,Q09440,nD1,4.3.1.27,Caenorhabditis elegans,Putative histone deacetylase 2 (EC 3.5.1.98),hda-2 C08B11.2,507,Q09440_F1,AFDB,2006.1.5,2006.1.5.2,3231987,21-395
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_2,Q09448,nD1,4.3.1.27,Caenorhabditis elegans,Putative acid phosphatase 10 (EC 3.1.3.2),pho-10 C05C10.1,411,Q09448_F1,AFDB,7525.1.1,7525.1.1.2,3212436,21-410
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_2,Q09448,nD1,4.3.1.27,Caenorhabditis elegans,Putative acid phosphatase 10 (EC 3.1.3.2),pho-10 C05C10.1,411,Q09448_F1,AFDB,7525.1.1,7525.1.1.2,3212436,21-410
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_2,Q09451,nD1,4.3.1.27,Caenorhabditis elegans,Putative acid phosphatase 11 (EC 3.1.3.2),pho-11 C05C10.4,413,Q09451_F1,AFDB,7525.1.1,7525.1.1.2,3231250,18-410
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_2,Q09451,nD1,4.3.1.27,Caenorhabditis elegans,Putative acid phosphatase 11 (EC 3.1.3.2),pho-11 C05C10.4,413,Q09451_F1,AFDB,7525.1.1,7525.1.1.2,3231250,18-410
